Date,AwayTeam,AwayScore,HomeTeam,HomeScore
1/1/19 13:00,Notre Dame Fighting Irish,66,Virginia Tech Hokies,81
1/3/19 19:00,North Carolina State Wolfpack,87,Miami (FL) Hurricanes,82
1/5/19 3:27,Clemson Tigers,68,Duke Blue Devils,87
1/5/19 12:00,Boston College Eagles,66,Virginia Tech Hokies,77
1/5/19 12:00,Syracuse Orange,72,Notre Dame Fighting Irish,62
1/5/19 12:00,North Carolina Tar Heels,85,Pittsburgh Panthers,60
1/5/19 14:00,Wake Forest Demon Deacons,79,Georgia Tech Yellow Jackets,92
1/5/19 15:00,Florida State Seminoles,52,Virginia Cavaliers,65
1/6/19 18:00,Miami (FL) Hurricanes,73,Louisville Cardinals,90
1/8/19 19:00,Duke Blue Devils,87,Wake Forest Demon Deacons,65
1/8/19 21:00,North Carolina Tar Heels,90,North Carolina State Wolfpack,82
1/9/19 19:00,Virginia Tech Hokies,52,Georgia Tech Yellow Jackets,49
1/9/19 20:00,Clemson Tigers,53,Syracuse Orange,61
1/9/19 20:00,Louisville Cardinals,86,Pittsburgh Panthers,89
1/9/19 21:00,Miami (FL) Hurricanes,62,Florida State Seminoles,68
1/9/19 21:00,Virginia Cavaliers,83,Boston College Eagles,56
1/12/19 12:00,Pittsburgh Panthers,80,North Carolina State Wolfpack,86
1/12/19 12:00,Louisville Cardinals,83,North Carolina Tar Heels,62
1/12/19 12:00,Virginia Cavaliers,63,Clemson Tigers,43
1/12/19 12:00,Boston College Eagles,66,Notre Dame Fighting Irish,69
1/12/19 14:00,Duke Blue Devils,80,Florida State Seminoles,78
1/12/19 14:00,Wake Forest Demon Deacons,65,Miami (FL) Hurricanes,76
1/12/19 18:00,Georgia Tech Yellow Jackets,73,Syracuse Orange,59
1/14/19 19:00,Syracuse Orange,95,Duke Blue Devils,91
1/14/19 19:00,Florida State Seminoles,62,Pittsburgh Panthers,75
1/15/19 20:00,North Carolina State Wolfpack,67,Wake Forest Demon Deacons,71
1/15/19 20:00,Virginia Tech Hokies,59,Virginia Cavaliers,81
1/15/19 21:00,Notre Dame Fighting Irish,69,North Carolina Tar Heels,75
1/16/19 19:00,Boston College Eagles,70,Louisville Cardinals,80
1/16/19 21:00,Georgia Tech Yellow Jackets,60,Clemson Tigers,72
1/19/19 3:27,Virginia Cavaliers,70,Duke Blue Devils,72
1/19/19 12:00,North Carolina Tar Heels,85,Miami (FL) Hurricanes,76
1/19/19 14:00,North Carolina State Wolfpack,77,Notre Dame Fighting Irish,73
1/19/19 14:00,Pittsburgh Panthers,63,Syracuse Orange,74
1/19/19 16:00,Louisville Cardinals,79,Georgia Tech Yellow Jackets,51
1/19/19 16:00,Wake Forest Demon Deacons,71,Virginia Tech Hokies,87
1/20/19 12:00,Florida State Seminoles,82,Boston College Eagles,87
1/21/19 19:00,Virginia Tech Hokies,82,North Carolina Tar Heels,103
1/22/19 19:00,Clemson Tigers,68,Florida State Seminoles,77
